Ind,Pop,C1,C2
ZFBP101,Bulow 1,0.956,0.044
ZFBP102,Bulow 1,0.952,0.048
ZFBP103,Bulow 1,0.966,0.034
ZFBP104,Bulow 1,0.891,0.109
ZFBP105,Bulow 1,0.976,0.024
ZFBP106,Bulow 1,0.987,0.013
ZFBP107,Bulow 1,0.958,0.042
ZFBP108,Bulow 1,0.989,0.011
ZFBP109,Bulow 1,0.985,0.015
ZFBP110,Bulow 1,0.929,0.071
ZFBP111,Bulow 1,0.99,0.01
ZFBP112,Bulow 1,0.982,0.018
ZFBP113,Bulow 1,0.982,0.018
ZFBP114,Bulow 1,0.981,0.019
ZFBP115,Bulow 1,0.988,0.012
ZFBP116,Bulow 1,0.985,0.015
ZFBP117,Bulow 1,0.99,0.01
ZFBP118,Bulow 1,0.982,0.018
ZFBP119,Bulow 1,0.988,0.012
ZFBP120,Bulow 1,0.978,0.022
ZFBP121,Bulow 1,0.984,0.016
ZFBP122,Bulow 1,0.987,0.013
ZFBP123,Bulow 1,0.979,0.021
ZFBP124,Bulow 1,0.978,0.022
ZFBP125,Bulow 1,0.991,0.009
ZFBP126,Bulow 1,0.945,0.055
ZFBP127,Bulow 1,0.988,0.012
ZFBP128,Bulow 1,0.988,0.012
ZFBP129,Bulow 1,0.987,0.013
ZFBP130,Bulow 1,0.99,0.01
ZFBP131,Bulow 1,0.983,0.017
ZFBP132,Bulow 1,0.989,0.011
ZFBP133,Bulow 1,0.989,0.011
ZFBP134,Bulow 1,0.986,0.014
ZFBP135,Bulow 1,0.944,0.056
ZFBP136,Bulow 1,0.982,0.018
,,,
ZFBP201,Bulow 2,0.974,0.026
ZFBP202,Bulow 2,0.984,0.016
ZFBP203,Bulow 2,0.919,0.081
ZFBP204,Bulow 2,0.984,0.016
ZFBP205,Bulow 2,0.984,0.016
ZFBP206,Bulow 2,0.974,0.026
ZFBP207,Bulow 2,0.989,0.011
ZFBP208,Bulow 2,0.968,0.032
ZFBP209,Bulow 2,0.99,0.01
ZFBP210,Bulow 2,0.978,0.022
ZFBP211,Bulow 2,0.985,0.015
ZFBP212,Bulow 2,0.986,0.014
ZFBP213,Bulow 2,0.974,0.026
ZFBP214,Bulow 2,0.977,0.023
ZFBP215,Bulow 2,0.985,0.015
ZFBP216,Bulow 2,0.97,0.03
ZFBP217,Bulow 2,0.987,0.013
ZFBP218,Bulow 2,0.988,0.012
ZFBP219,Bulow 2,0.985,0.015
ZFBP220,Bulow 2,0.988,0.012
ZFBP221,Bulow 2,0.986,0.014
ZFBP222,Bulow 2,0.977,0.023
ZFBP223,Bulow 2,0.982,0.018
ZFBP224,Bulow 2,0.981,0.019
ZFBP225,Bulow 2,0.986,0.014
ZFBP226,Bulow 2,0.983,0.017
ZFBP227,Bulow 2,0.855,0.145
ZFBP228,Bulow 2,0.987,0.013
ZFBP229,Bulow 2,0.988,0.012
ZFBP230,Bulow 2,0.986,0.014
ZFBP231,Bulow 2,0.983,0.017
ZFBP232,Bulow 2,0.988,0.012
ZFBP233,Bulow 2,0.982,0.018
,,,
ZFCNS01,Canaveral,0.976,0.024
ZFCNS02,Canaveral,0.987,0.013
ZFCNS05,Canaveral,0.982,0.018
ZFCNS06,Canaveral,0.985,0.015
ZFCNS07,Canaveral,0.985,0.015
ZFCNS10,Canaveral,0.989,0.011
ZFCNS11,Canaveral,0.983,0.017
ZFCNS15,Canaveral,0.983,0.017
ZFCNS17,Canaveral,0.987,0.013
ZFCNS18,Canaveral,0.987,0.013
ZFCNS19,Canaveral,0.985,0.015
ZFCNS20,Canaveral,0.986,0.014
ZFCNS21,Canaveral,0.986,0.014
ZFCNS22,Canaveral,0.982,0.018
ZFCNS23,Canaveral,0.979,0.021
ZFCNS24,Canaveral,0.988,0.012
ZFCNS25,Canaveral,0.986,0.014
ZFCNS26,Canaveral,0.984,0.016
ZFCNS27,Canaveral,0.985,0.015
ZFCNS28,Canaveral,0.984,0.016
ZFCNS29,Canaveral,0.985,0.015
ZFCNS30,Canaveral,0.983,0.017
ZFCNS31,Canaveral,0.985,0.015
ZFCNS32,Canaveral,0.984,0.016
ZFCNS33,Canaveral,0.985,0.015
ZFCNS34,Canaveral,0.985,0.015
ZFCNS35,Canaveral,0.983,0.017
ZFCNS36,Canaveral,0.986,0.014
ZFCNS37,Canaveral,0.984,0.016
ZFCNS39,Canaveral,0.988,0.012
ZFCNS40,Canaveral,0.988,0.012
ZFCNS41,Canaveral,0.977,0.023
ZFCNS42,Canaveral,0.986,0.014
ZFCNS43,Canaveral,0.986,0.014
ZFCNS44,Canaveral,0.988,0.012
ZFCNS46,Canaveral,0.985,0.015
ZFCNS47,Canaveral,0.985,0.015
ZFCNS48,Canaveral,0.987,0.013
ZFCNS49,Canaveral,0.987,0.013
,,,
ZFFDSP01,Faver-Dykes,0.985,0.015
ZFFDSP02,Faver-Dykes,0.988,0.012
ZFFDSP04,Faver-Dykes,0.985,0.015
ZFFDSP05,Faver-Dykes,0.984,0.016
ZFFDSP06,Faver-Dykes,0.988,0.012
ZFFDSP07,Faver-Dykes,0.98,0.02
